title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_date,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_date,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director
Where the Heart Is,Feature Film,Drama,120,PG-13,Twentieth Century Fox Home Entertainment,2000-04-28T04:00:00Z,2e3,4,28,2000-09-26T04:00:00Z,2e3,9,26,6.8,26360,Rotten,35,Upright,77,no,no,no,yes,no,no,Matt Williams
The Cake Eaters,Feature Film,Art House & International,86,R,7-57 Releasing,2007-04-29T04:00:00Z,2007,4,29,2009-03-24T04:00:00Z,2009,3,24,6.5,5762,Fresh,64,Spilled,48,no,no,no,no,no,no,Mary Stuart Masterson
The Darwin Awards,Feature Film,Drama,94,R,Blumhouse,2006-07-05T04:00:00Z,2006,7,5,2007-07-31T04:00:00Z,2007,7,31,5.9,8521,Rotten,25,Spilled,45,no,no,no,no,no,no,Finn Taylor
Kick-Ass 2,Feature Film,Action & Adventure,103,R,Universal Pictures,2013-08-16T04:00:00Z,2013,8,16,2013-12-17T05:00:00Z,2013,12,17,6.6,191935,Rotten,30,Spilled,58,no,no,no,no,no,no,Jeff Wadlow
Hotel Terminus: The Life and Times of Klaus Barbie,Documentary,Documentary,267,Unrated,SnagFilms,1988-11-01T05:00:00Z,1988,11,1,2010-10-26T04:00:00Z,2010,10,26,7.8,872,Fresh,100,Upright,73,no,no,no,no,no,no,Marcel Ophuls
Jade,Feature Film,Drama,95,R,Paramount,1995-10-13T04:00:00Z,1995,10,13,1999-02-16T05:00:00Z,1999,2,16,5.1,8999,Rotten,14,Spilled,27,no,no,no,no,yes,no,William Friedkin
Lethal Weapon,Feature Film,Drama,110,R,Warner Bros. Pictures,1987-03-06T05:00:00Z,1987,3,6,2000-06-06T04:00:00Z,2e3,6,6,7.6,184656,Certified Fresh,84,Upright,85,no,no,no,no,no,no,Richard Donner
Closet Land,Feature Film,Mystery & Suspense,89,R,Media Home Entertainment,1991-03-06T05:00:00Z,1991,3,6,1991-09-12T04:00:00Z,1991,9,12,7.2,2098,Rotten,44,Upright,86,no,no,no,no,no,no,Radha Bharadwaj
Cast Away,Feature Film,Drama,143,PG-13,20th Century Fox,2000-12-22T05:00:00Z,2e3,12,22,2001-06-12T04:00:00Z,2001,6,12,7.7,375820,Certified Fresh,90,Upright,83,no,no,yes,yes,yes,yes,Robert Zemeckis
Crocodile Dundee in Los Angeles,Feature Film,Action & Adventure,92,PG,Paramount,2001-04-20T04:00:00Z,2001,4,20,2001-09-18T04:00:00Z,2001,9,18,4.8,19187,Rotten,11,Spilled,25,no,no,no,no,no,no,Simon Wincer
Motorama,Feature Film,Drama,90,R,Sony Pictures Home Entertainment,1992-03-28T05:00:00Z,1992,3,28,2001-12-18T05:00:00Z,2001,12,18,6.4,1406,Fresh,60,Upright,61,no,no,no,no,no,no,Barry Shils
Lost and Delirious,Feature Film,Drama,103,R,Lions Gate Releasing,2001-07-20T04:00:00Z,2001,7,20,2001-12-11T05:00:00Z,2001,12,11,7,16755,Rotten,51,Upright,78,no,no,no,no,no,no,Lea Pool
Antiviral,Feature Film,Drama,108,Unrated,IFC,2013-04-12T04:00:00Z,2013,4,12,2013-08-06T04:00:00Z,2013,8,6,5.6,9003,Fresh,64,Spilled,40,no,no,no,no,no,no,Brandon Cronenberg
Class Action,Feature Film,Mystery & Suspense,110,R,Twentieth Century Fox Home Entertainment,1991-03-15T05:00:00Z,1991,3,15,2005-02-01T05:00:00Z,2005,2,1,6.3,5014,Fresh,75,Spilled,51,no,no,yes,no,no,no,Michael Apted
The Pit and the Pendulum,Feature Film,Horror,97,R,MGM,1991-06-27T04:00:00Z,1991,6,27,2000-03-14T05:00:00Z,2e3,3,14,6.1,2818,Rotten,56,Spilled,40,no,no,no,no,no,no,Stuart Gordon
Man on Wire,Documentary,Documentary,94,PG-13,Magnolia Pictures,2008-01-22T05:00:00Z,2008,1,22,2008-12-09T05:00:00Z,2008,12,9,7.9,38076,Certified Fresh,100,Upright,87,no,no,no,no,no,no,James Marsh
Madagascar: Escape 2 Africa,Feature Film,Action & Adventure,89,PG,Paramount Studios,2008-11-07T05:00:00Z,2008,11,7,2009-02-06T05:00:00Z,2009,2,6,6.7,137405,Fresh,64,Upright,66,no,no,no,no,no,no,Tom McGrath
Failure to Launch,Feature Film,Drama,97,PG-13,Paramount Pictures,2006-03-10T05:00:00Z,2006,3,10,2006-06-27T04:00:00Z,2006,6,27,5.6,56361,Rotten,24,Spilled,52,no,no,yes,no,no,no,Tom Dey
London to Brighton,Feature Film,Mystery & Suspense,85,R,Outsider Films,2008-02-08T05:00:00Z,2008,2,8,2005-03-15T05:00:00Z,2005,3,15,7,7244,Fresh,67,Upright,75,no,no,no,no,no,no,Paul Andrew Williams
A Stranger Among Us,Feature Film,Drama,110,PG-13,Buena Vista Pictures,1992-01-01T05:00:00Z,1992,1,1,2003-06-03T04:00:00Z,2003,6,3,5.7,2701,Rotten,23,Spilled,40,no,no,no,no,no,no,Sidney Lumet
Van Wilder: The Rise of Taj (Van Wilder 2),Feature Film,Comedy,97,R,MGM,2006-12-01T05:00:00Z,2006,12,1,2007-03-27T04:00:00Z,2007,3,27,4.8,18712,Rotten,7,Spilled,38,no,no,no,no,no,no,Mort Nathan
The Human Stain,Feature Film,Mystery & Suspense,106,R,Miramax Films,2003-10-21T04:00:00Z,2003,10,21,2004-07-20T04:00:00Z,2004,7,20,6.3,25054,Rotten,43,Spilled,49,no,no,yes,yes,yes,no,Robert Benton
Woo,Feature Film,Comedy,84,R,New Line Home Entertainment,1998-05-08T04:00:00Z,1998,5,8,2004-01-13T05:00:00Z,2004,1,13,3.8,1510,Rotten,10,Upright,63,no,no,no,no,no,no,Tommy Davidson
The Black Stallion,Feature Film,Action & Adventure,118,G,Twentieth Century Fox Home Entertainment,1979-10-17T04:00:00Z,1979,10,17,1997-09-10T04:00:00Z,1997,9,10,7.4,8544,Fresh,88,Upright,83,no,no,no,no,no,no,Carroll Ballard
Savior,Feature Film,Drama,103,R,Sony Pictures Home Entertainment,1998-11-20T05:00:00Z,1998,11,20,1999-04-20T04:00:00Z,1999,4,20,7.3,8561,Rotten,56,Upright,81,no,no,no,no,no,no,Predrag Antonijevic
Project X,Feature Film,Drama,88,R,Warner Bros. Pictures,2012-03-02T05:00:00Z,2012,3,2,2012-06-19T04:00:00Z,2012,6,19,6.7,151934,Rotten,28,Upright,61,no,no,no,no,no,no,Jonathan Kaplan
Bottle Rocket,Feature Film,Drama,91,R,Columbia Pictures,1996-02-23T05:00:00Z,1996,2,23,1998-12-22T05:00:00Z,1998,12,22,7.1,52449,Certified Fresh,85,Upright,80,no,no,no,no,no,no,Wes Anderson
At First Sight,Feature Film,Drama,128,PG-13,MGM,1999-01-15T05:00:00Z,1999,1,15,1999-04-27T04:00:00Z,1999,4,27,5.9,11001,Rotten,32,Spilled,46,no,no,no,no,no,no,Irwin Winkler
Session 9,Feature Film,Drama,100,R,USA Films,2001-08-10T04:00:00Z,2001,8,10,2002-02-26T05:00:00Z,2002,2,26,6.5,42613,Fresh,63,Upright,64,no,no,no,no,no,no,Brad Anderson
Liz & Dick,TV Movie,Drama,88,Unrated,E1 Entertainment,2012-01-01T05:00:00Z,2012,1,1,2013-05-14T04:00:00Z,2013,5,14,4.1,3505,Rotten,33,Spilled,19,no,no,no,no,no,no,Lloyd Kramer
The Devil's Rejects,Feature Film,Horror,107,R,Lions Gate Films,2005-07-22T04:00:00Z,2005,7,22,2005-11-07T05:00:00Z,2005,11,7,6.9,74294,Rotten,53,Upright,78,no,no,no,no,no,no,Rob Zombie
Surviving Progress,Documentary,Documentary,86,G,First Run Features,2012-04-06T04:00:00Z,2012,4,6,2012-09-25T04:00:00Z,2012,9,25,7.5,1480,Fresh,75,Upright,80,no,no,no,no,no,no,Mathieu Roy
The Squeeze,Feature Film,Action & Adventure,101,PG-13,HBO Video,1987-07-10T04:00:00Z,1987,7,10,NA,NA,NA,NA,4.5,703,Rotten,17,Spilled,33,no,no,no,no,no,no,Roger Young
Kindergarten Cop,Feature Film,Action & Adventure,111,PG-13,MCA Universal Home Video,1990-12-21T05:00:00Z,1990,12,21,1998-01-20T05:00:00Z,1998,1,20,6,103789,Rotten,51,Spilled,51,no,no,no,no,no,no,Ivan Reitman
In the Loop,Feature Film,Art House & International,106,Unrated,IFC,2009-07-24T04:00:00Z,2009,7,24,2010-01-12T05:00:00Z,2010,1,12,7.5,42842,Certified Fresh,94,Upright,81,no,no,no,no,no,no,Armando Iannucci
Cypher,Feature Film,Action & Adventure,95,R,Miramax,2002-10-07T04:00:00Z,2002,10,7,2005-08-02T04:00:00Z,2005,8,2,6.8,26731,Rotten,58,Upright,65,no,no,no,no,no,no,Vincenzo Natali
Love and Death,Feature Film,Drama,85,PG,United Artists,1975-06-10T04:00:00Z,1975,6,10,2000-07-05T04:00:00Z,2e3,7,5,7.8,26628,Fresh,100,Upright,90,no,no,no,yes,yes,no,Woody Allen
Happy Gilmore,Feature Film,Comedy,92,PG-13,MCA Universal Home Video,1996-02-16T05:00:00Z,1996,2,16,1998-02-24T05:00:00Z,1998,2,24,7,149437,Fresh,60,Upright,85,no,no,no,no,no,no,Dennis Dugan
Catch a Fire,Feature Film,Drama,101,PG-13,Focus Features,2006-10-27T04:00:00Z,2006,10,27,2007-01-30T05:00:00Z,2007,1,30,6.7,9291,Certified Fresh,76,Upright,71,no,no,no,no,no,no,Phillip Noyce
Run Lola Run,Feature Film,Drama,81,R,Sony Pictures Classics,1999-06-18T04:00:00Z,1999,6,18,1999-12-21T05:00:00Z,1999,12,21,7.8,157701,Certified Fresh,93,Upright,90,no,no,no,no,no,no,Tom Tykwer
Funny Farm,Feature Film,Comedy,101,PG,Warner Home Video,1988-06-03T04:00:00Z,1988,6,3,1999-05-18T04:00:00Z,1999,5,18,6.1,14901,Fresh,67,Spilled,50,no,no,no,no,yes,no,George Roy Hill
Winter Kills,Feature Film,Mystery & Suspense,97,R,AVCO Embassy Pictures,1977-01-01T05:00:00Z,1977,1,1,2003-03-18T05:00:00Z,2003,3,18,6.4,1361,Fresh,86,Spilled,51,no,no,yes,no,no,no,William Richert
Waking Life,Feature Film,Drama,99,R,Fox Searchlight,2001-01-19T05:00:00Z,2001,1,19,2002-05-07T04:00:00Z,2002,5,7,7.8,47065,Certified Fresh,80,Upright,87,no,no,no,no,no,no,Richard Linklater
An Ideal Husband,Feature Film,Comedy,97,PG-13,Miramax Films,1999-06-18T04:00:00Z,1999,6,18,2000-01-18T05:00:00Z,2e3,1,18,6.9,12606,Certified Fresh,85,Upright,69,no,no,no,yes,no,no,Oliver Parker
Being John Malkovich,Feature Film,Drama,112,R,Gramercy Pictures,1999-10-29T04:00:00Z,1999,10,29,2000-05-02T04:00:00Z,2e3,5,2,7.8,246587,Certified Fresh,93,Upright,87,no,no,no,no,no,no,Spike Jonze
Secondhand Lions,Feature Film,Drama,111,PG,New Line Cinema,2003-09-19T04:00:00Z,2003,9,19,2004-02-03T05:00:00Z,2004,2,3,7.6,42208,Rotten,59,Upright,84,no,no,yes,no,no,no,Tim McCanlies
Politiki Kouzina (A Touch of Spice),Feature Film,Drama,108,Unrated,Brainstorm Media,2003-10-24T04:00:00Z,2003,10,24,2010-01-26T05:00:00Z,2010,1,26,7.6,9216,Rotten,31,Upright,86,no,no,no,no,no,no,Tassos Boulmetis
Hellboy II: The Golden Army (Hellboy 2),Feature Film,Action & Adventure,120,PG-13,Universal Pictures,2008-06-28T04:00:00Z,2008,6,28,2008-11-11T05:00:00Z,2008,11,11,7,201787,Certified Fresh,85,Upright,71,no,no,no,no,no,no,Guillermo del Toro
The Return of the Pink Panther,Feature Film,Mystery & Suspense,113,G,United Artists,1975-05-21T04:00:00Z,1975,5,21,2001-03-20T05:00:00Z,2001,3,20,7.1,19000,Fresh,89,Upright,82,no,no,no,no,no,no,Blake Edwards
Love the Beast,Documentary,Documentary,92,R,Madman Entertainment,2009-03-12T04:00:00Z,2009,3,12,2010-07-13T04:00:00Z,2010,7,13,7.5,1799,Fresh,61,Upright,72,no,no,no,no,no,no,Eric Bana
200 Cigarettes,Feature Film,Drama,101,R,Paramount Pictures,1999-02-26T05:00:00Z,1999,2,26,1999-08-31T04:00:00Z,1999,8,31,5.9,12877,Rotten,28,Spilled,59,no,no,no,no,no,no,Risa Bramon Garcia
The Wild Geese,Feature Film,Drama,134,R,Tango Entertainment,1978-11-11T05:00:00Z,1978,11,11,2005-09-27T04:00:00Z,2005,9,27,6.8,9025,Fresh,60,Upright,76,no,no,no,no,no,no,Andrew V. McLaglen
The Slumber Party Massacre,Feature Film,Horror,77,R,New Concorde Home Entertainment,1982-11-12T05:00:00Z,1982,11,12,2000-08-29T04:00:00Z,2e3,8,29,5.7,5985,Rotten,36,Spilled,45,no,no,no,no,no,no,Amy Holden Jones
Oliver & Company,Feature Film,Animation,74,G,NA,1988-11-18T05:00:00Z,1988,11,18,2002-05-14T04:00:00Z,2002,5,14,6.7,30886,Rotten,43,Upright,63,no,no,no,no,no,no,George Scribner
No Mercy,Feature Film,Drama,106,R,Sony Pictures Home Entertainment,1986-12-19T05:00:00Z,1986,12,19,2001-03-06T05:00:00Z,2001,3,6,5.6,4970,Rotten,21,Spilled,29,no,no,no,no,no,no,Richard Pearce
Imagining Argentina,Feature Film,Art House & International,107,R,Arenas Entertainment,2004-06-11T04:00:00Z,2004,6,11,2005-10-11T04:00:00Z,2005,10,11,6.3,2732,Rotten,33,Upright,72,no,no,no,yes,no,no,Christopher Hampton
Good Boy!,Feature Film,Comedy,87,PG,MGM,2003-10-10T04:00:00Z,2003,10,10,2004-03-02T05:00:00Z,2004,3,2,5.1,3336,Rotten,44,Spilled,40,no,no,no,no,no,no,John Robert Hoffman
Speed,Feature Film,Mystery & Suspense,116,R,20th Century Fox,1994-06-10T04:00:00Z,1994,6,10,1998-11-03T05:00:00Z,1998,11,3,7.2,252661,Certified Fresh,93,Upright,76,no,no,no,yes,no,no,Jan de Bont
Me and You and Everyone We Know,Feature Film,Drama,91,R,IFC Films,2005-06-24T04:00:00Z,2005,6,24,2005-10-11T04:00:00Z,2005,10,11,7.4,30641,Certified Fresh,81,Upright,84,no,no,no,no,no,no,Miranda July
Henry: Portrait of a Serial Killer,Feature Film,Drama,83,NC-17,GreyCat Films,1986-09-24T04:00:00Z,1986,9,24,1998-11-17T05:00:00Z,1998,11,17,7,22601,Certified Fresh,86,Upright,71,no,no,no,no,no,no,John McNaughton
Someone to Watch over Me,Feature Film,Drama,106,R,Sony Pictures Home Entertainment,1987-10-09T04:00:00Z,1987,10,9,2001-08-28T04:00:00Z,2001,8,28,6.1,7076,Fresh,76,Spilled,42,no,no,no,no,no,no,Ridley Scott
Grease,Feature Film,Other,110,PG,Paramount Pictures,1978-06-01T04:00:00Z,1978,6,1,2002-09-24T04:00:00Z,2002,9,24,7.2,161601,Certified Fresh,78,Upright,88,no,no,no,no,no,yes,Randal Kleiser
28 Days Later,Feature Film,Science Fiction & Fantasy,113,R,Fox Searchlight Pictures,2003-06-27T04:00:00Z,2003,6,27,2003-10-21T04:00:00Z,2003,10,21,7.6,285328,Certified Fresh,87,Upright,85,no,no,no,no,yes,no,Danny Boyle
Normal,TV Movie,Drama,110,Unrated,Bankside Films,2003-01-21T05:00:00Z,2003,1,21,2003-10-07T04:00:00Z,2003,10,7,7.3,2598,Fresh,100,Upright,75,no,no,no,yes,no,no,Jane Anderson
Winter's Bone,Feature Film,Drama,100,R,Roadside Attractions,2010-06-11T04:00:00Z,2010,6,11,2010-10-26T04:00:00Z,2010,10,26,7.2,108598,Certified Fresh,94,Upright,76,yes,no,no,yes,no,no,Debra Granik
Your Sister's Sister,Feature Film,Drama,90,R,IFC Films,2012-06-15T04:00:00Z,2012,6,15,2012-11-06T05:00:00Z,2012,11,6,6.7,20655,Certified Fresh,83,Upright,66,no,no,no,no,no,no,Lynn Shelton
Sleepover,Feature Film,Comedy,89,PG,MGM,2004-07-09T04:00:00Z,2004,7,9,2004-11-23T05:00:00Z,2004,11,23,5.3,12322,Rotten,15,Spilled,55,no,no,no,no,no,no,Joe Nussbaum
The Kingdom,Feature Film,Drama,110,R,Universal Pictures,2007-09-28T04:00:00Z,2007,9,28,2007-12-23T05:00:00Z,2007,12,23,7.1,99192,Rotten,51,Upright,76,no,no,yes,no,no,no,Peter Berg
House on Haunted Hill,Feature Film,Mystery & Suspense,93,R,Warner Home Video,1999-10-29T04:00:00Z,1999,10,29,2000-04-18T04:00:00Z,2e3,4,18,5.6,44257,Rotten,28,Spilled,42,no,no,yes,no,no,no,William Malone
Patch Adams,Feature Film,Drama,115,PG-13,Universal Studios,1998-12-25T05:00:00Z,1998,12,25,1999-06-22T04:00:00Z,1999,6,22,6.7,77762,Rotten,22,Upright,74,no,no,yes,no,no,no,Tom Shadyac
Harry Potter and the Chamber of Secrets,Feature Film,Science Fiction & Fantasy,161,PG,Warner Bros. Pictures,2002-11-15T05:00:00Z,2002,11,15,2003-04-11T04:00:00Z,2003,4,11,7.4,368799,Certified Fresh,82,Upright,79,no,no,no,no,no,yes,Chris Columbus
The Heavenly Kid,Feature Film,Drama,90,PG-13,Orion,1985-07-26T04:00:00Z,1985,7,26,2005-11-15T05:00:00Z,2005,11,15,6.2,2830,Rotten,25,Upright,64,no,no,no,no,no,no,Cary Medoway
Snow Flower And The Secret Fan,Feature Film,Art House & International,104,PG-13,Fox Searchlight,2011-07-15T04:00:00Z,2011,7,15,2011-11-01T04:00:00Z,2011,11,1,6,2960,Rotten,21,Spilled,48,no,no,no,no,no,no,Wayne Wang
Apollo 18,Feature Film,Science Fiction & Fantasy,86,PG-13,The Weinstein Company,2011-09-02T04:00:00Z,2011,9,2,2011-12-27T05:00:00Z,2011,12,27,5.2,46233,Rotten,24,Spilled,23,no,no,no,no,no,no,Gonzalo Lopez-Gallego
Total Eclipse,Feature Film,Art House & International,111,R,New Line Home Entertainment,1995-11-03T05:00:00Z,1995,11,3,1999-12-21T05:00:00Z,1999,12,21,6.5,9980,Rotten,25,Upright,61,no,no,no,no,no,no,Agnieszka Holland
Hoodlum,Feature Film,Drama,130,R,905 Corporation,1997-08-27T04:00:00Z,1997,8,27,2001-05-15T04:00:00Z,2001,5,15,6.2,8016,Rotten,45,Upright,66,no,no,no,no,no,no,Bill Duke
National Security,Feature Film,Drama,88,PG-13,Sony Pictures,2003-01-17T05:00:00Z,2003,1,17,2003-05-27T04:00:00Z,2003,5,27,5.6,37938,Rotten,11,Spilled,45,no,no,no,no,no,no,Dennis Dugan
Down in the Valley,Feature Film,Other,108,R,ThinkFilm,2006-05-05T04:00:00Z,2006,5,5,2006-09-26T04:00:00Z,2006,9,26,6.5,16480,Rotten,52,Spilled,54,no,no,no,no,no,no,David Jacobson
Young Adult,Feature Film,Drama,94,R,Paramount Studios,2011-12-16T05:00:00Z,2011,12,16,2012-03-13T04:00:00Z,2012,3,13,6.3,63219,Certified Fresh,80,Spilled,49,no,no,no,yes,no,no,Jason Reitman
The Man Who Sued God,Feature Film,Drama,97,R,NA,2001-10-25T04:00:00Z,2001,10,25,2007-03-13T04:00:00Z,2007,3,13,6.5,4251,Fresh,71,Spilled,59,no,no,no,no,no,no,Mark Joffe
Compliance,Feature Film,Drama,90,R,Magnolia Pictures,2012-08-17T04:00:00Z,2012,8,17,2013-01-08T05:00:00Z,2013,1,8,6.4,23697,Certified Fresh,89,Upright,60,no,no,no,no,no,no,Craig Zobel
I Spit On Your Grave,Feature Film,Horror,108,R,Anchor Bay Films,2010-10-08T04:00:00Z,2010,10,8,2011-02-08T05:00:00Z,2011,2,8,6.3,53675,Rotten,34,Spilled,48,no,no,no,no,no,no,Steven R. Monroe
Maniac,Feature Film,Drama,87,R,Analysis,1980-01-01T05:00:00Z,1980,1,1,1998-06-30T04:00:00Z,1998,6,30,6.5,9787,Rotten,43,Spilled,58,no,no,no,no,no,no,William Lustig
Dog Park,Feature Film,Comedy,91,R,New Line Home Entertainment,1998-06-01T04:00:00Z,1998,6,1,2004-03-02T05:00:00Z,2004,3,2,5.1,1978,Rotten,36,Spilled,28,no,no,no,no,no,no,Bruce McCulloch
The Brothers Solomon,Feature Film,Comedy,93,R,Screen Gems,2007-09-07T04:00:00Z,2007,9,7,2007-12-26T05:00:00Z,2007,12,26,5.3,9370,Rotten,15,Spilled,31,no,no,no,no,no,no,Bob Odenkirk
Maurice,Feature Film,Drama,140,R,Lorimar Home Video,1987-09-01T04:00:00Z,1987,9,1,2004-02-24T05:00:00Z,2004,2,24,7.8,10380,Fresh,91,Upright,87,no,no,no,no,no,no,James Ivory
The Last Boy Scout,Feature Film,Drama,105,R,Warner Home Video,1991-12-13T05:00:00Z,1991,12,13,1998-05-26T04:00:00Z,1998,5,26,6.9,73280,Rotten,42,Upright,68,no,no,no,no,no,no,Tony Scott
Alligator,Feature Film,Science Fiction & Fantasy,91,R,Group 1,1980-01-01T05:00:00Z,1980,1,1,2007-09-18T04:00:00Z,2007,9,18,5.9,7656,Fresh,67,Spilled,47,no,no,no,no,no,no,Lewis Teague
Jennifer 8,Feature Film,Mystery & Suspense,124,R,Paramount Home Video,1992-11-06T05:00:00Z,1992,11,6,2000-04-11T04:00:00Z,2e3,4,11,6.2,11855,Rotten,39,Spilled,37,no,no,no,no,no,no,Bruce Robinson
RoboCop,Feature Film,Drama,102,R,Orion Pictures Corporation,1987-07-17T04:00:00Z,1987,7,17,2001-10-02T04:00:00Z,2001,10,2,7.5,172765,Certified Fresh,88,Upright,83,no,no,no,no,no,no,Paul Verhoeven
The Football Factory,Feature Film,Documentary,91,R,Image Entertainment,2004-05-14T04:00:00Z,2004,5,14,2005-12-26T05:00:00Z,2005,12,26,6.9,23201,Rotten,20,Upright,84,no,no,no,no,no,no,Nick Love
Bamboozled,Feature Film,Drama,135,R,New Line Cinema,2000-10-06T04:00:00Z,2e3,10,6,2001-04-17T04:00:00Z,2001,4,17,6.4,8604,Rotten,48,Upright,74,no,no,no,no,no,no,Spike Lee
The Sure Thing,Feature Film,Comedy,100,PG-13,Embassy,1985-03-01T05:00:00Z,1985,3,1,2003-08-05T04:00:00Z,2003,8,5,7,14949,Fresh,87,Upright,79,no,no,no,no,no,no,Rob Reiner
The Slaughter Rule,Feature Film,Drama,112,R,Cowboy Pictures,2002-01-11T05:00:00Z,2002,1,11,2003-02-17T05:00:00Z,2003,2,17,6.1,1995,Fresh,73,Spilled,44,no,no,no,no,no,no,Alex Smith
Rise of the Footsoldier,Feature Film,Action & Adventure,119,R,Carnaby International,2007-09-07T04:00:00Z,2007,9,7,2008-12-02T05:00:00Z,2008,12,2,6.9,15806,Rotten,14,Upright,84,no,no,no,no,no,no,Julian Gilbey
Hollywood Homicide,Feature Film,Action & Adventure,116,PG-13,Columbia Pictures,2003-06-13T04:00:00Z,2003,6,13,2003-10-07T04:00:00Z,2003,10,7,5.3,30694,Rotten,30,Spilled,27,no,no,no,no,no,no,Ron Shelton
Morning Glory,Feature Film,Comedy,107,PG-13,Paramount Studios,2010-11-10T05:00:00Z,2010,11,10,2011-03-08T05:00:00Z,2011,3,8,6.5,56888,Rotten,56,Spilled,51,no,no,no,yes,no,no,Roger Michell
11'09''01 - September 11,Feature Film,Drama,134,Unrated,Empire Pictures,2002-09-11T04:00:00Z,2002,9,11,2004-10-26T04:00:00Z,2004,10,26,7,4821,Certified Fresh,78,Upright,64,no,no,yes,no,no,no,Samira Makhmalbaf
Clownhouse,Feature Film,Horror,81,R,Sony Pictures Home Entertainment,1989-06-01T04:00:00Z,1989,6,1,2003-07-07T04:00:00Z,2003,7,7,5.8,3145,Rotten,40,Spilled,41,no,no,no,no,no,no,Victor Salva
Rampart,Feature Film,Drama,108,R,Millenium Entertainment,2012-02-10T05:00:00Z,2012,2,10,2012-05-15T04:00:00Z,2012,5,15,5.8,19115,Certified Fresh,74,Spilled,35,no,no,no,no,no,no,Oren Moverman
Cashback,Feature Film,Drama,102,R,Magnolia Pictures,2007-04-20T04:00:00Z,2007,4,20,2007-07-24T04:00:00Z,2007,7,24,7.2,70994,Rotten,46,Upright,78,no,no,no,no,no,no,Sean Ellis
The Host,Feature Film,Drama,120,R,Magnolia Pictures,2007-03-09T05:00:00Z,2007,3,9,2007-07-24T04:00:00Z,2007,7,24,7,66233,Certified Fresh,92,Upright,72,no,no,no,no,no,no,Bong Joon-ho
Aspen Extreme,Feature Film,Drama,113,PG-13,Buena Vista,1993-01-22T05:00:00Z,1993,1,22,2002-09-03T04:00:00Z,2002,9,3,5.8,2295,Rotten,22,Upright,66,no,no,no,no,no,no,Patrick Hasburgh
Nomads,Feature Film,Drama,91,R,Paramount Home Video,1986-03-07T05:00:00Z,1986,3,7,2002-04-16T04:00:00Z,2002,4,16,5.5,2698,Rotten,13,Spilled,37,no,no,no,no,no,no,John McTiernan
Deconstructing Harry,Feature Film,Comedy,96,R,New Line Home Entertainment,1997-12-12T05:00:00Z,1997,12,12,1998-05-26T04:00:00Z,1998,5,26,7.4,34652,Fresh,71,Upright,82,no,no,no,no,yes,no,Woody Allen
The End of America,Documentary,Documentary,NA,Unrated,Indipix,2008-10-01T04:00:00Z,2008,10,1,2009-01-20T05:00:00Z,2009,1,20,7.5,739,Fresh,80,Upright,72,no,no,no,no,no,no,Anne Sundberg
Hot Shots! Part Deux,Feature Film,Action & Adventure,86,PG-13,Twentieth Century Fox Home Entertainment,1993-05-21T04:00:00Z,1993,5,21,2002-08-06T04:00:00Z,2002,8,6,6.6,64489,Rotten,59,Upright,63,no,no,no,no,no,no,Jim Abrahams
Control,Feature Film,Musical & Performing Arts,122,R,The Weinstein Company,2007-05-17T04:00:00Z,2007,5,17,2008-06-03T04:00:00Z,2008,6,3,7.8,49985,Certified Fresh,87,Upright,89,no,no,no,no,no,no,Hanne Myren
Lassie,Feature Film,Action & Adventure,94,PG,Paramount Pictures,1994-07-22T04:00:00Z,1994,7,22,2002-03-12T05:00:00Z,2002,3,12,5.8,3649,Fresh,87,Spilled,56,no,no,no,no,no,no,Daniel Petrie
What Richard Did,Feature Film,Drama,88,Unrated,Tribeca Films,2013-05-10T04:00:00Z,2013,5,10,2014-06-23T04:00:00Z,2014,6,23,6.3,3359,Fresh,93,Upright,62,no,no,no,no,no,no,Lenny Abrahamson
Emperor,Feature Film,Mystery & Suspense,105,PG-13,Roadside Attractions,2013-03-08T05:00:00Z,2013,3,8,2013-08-13T04:00:00Z,2013,8,13,6.5,10020,Rotten,31,Spilled,46,no,no,no,no,no,no,Peter Webber
Hereafter,Feature Film,Mystery & Suspense,129,PG-13,Warner Bros. Pictures,2010-10-22T04:00:00Z,2010,10,22,2011-03-15T04:00:00Z,2011,3,15,6.5,78726,Rotten,46,Spilled,38,no,no,no,no,yes,no,Clint Eastwood
Aladdin,Feature Film,Action & Adventure,90,G,Buena Vista Distribution Compa,1992-11-11T05:00:00Z,1992,11,11,2004-10-05T04:00:00Z,2004,10,5,8,246907,Certified Fresh,94,Upright,92,no,no,no,no,no,yes,John Musker
The King of Comedy,Feature Film,Drama,109,PG,Fox,1983-01-01T05:00:00Z,1983,1,1,2002-12-17T05:00:00Z,2002,12,17,7.8,49374,Certified Fresh,89,Upright,89,no,no,yes,no,yes,no,Martin Scorsese
Bound,Feature Film,Mystery & Suspense,108,R,Republic Pictures Home Video,1996-10-04T04:00:00Z,1996,10,4,2001-06-19T04:00:00Z,2001,6,19,7.4,40001,Fresh,92,Upright,82,no,no,no,no,no,no,Larry Wachowski
